,sum_sq,df,F,PR(>F)
C(area_name),0.09889306656906681,7.0,0.14733371400354914,0.7017284070878509
C(price_label),0.584084313114147,4.0,1.5228245995777865,0.1993245107223685
C(area_name):C(price_label),3.651640962613267,28.0,1.3600797404071865,0.1544396301493136
Residual,12.369592074592076,129.0,,
