price_band4,n,rating_avg,rating_med,popularity_avg,popularity_med
201-500,356,4.479494382022472,4.5,2457.3426966292136,1571.5
501-800,31,4.370967741935484,4.4,3369.9032258064517,2022.0
<=200,54,4.377777777777778,4.4,2199.5185185185187,1203.0
>800,6,4.366666666666666,4.3,2921.6666666666665,2566.0
